"Customer ID","CARTsegments"
"4231-HZEXGK-HRI","1"
"4979-WSWKYV-BSV","5"
"7245-IUATZR-VLV","1"
"2041-WAUPOH-84L","2"
"5472-GUGMBS-ZVK","1"
"1811-FUILIP-L3S","8"
"2687-GRSYRT-YRW","1"
"9184-ABVZGX-Z4V","7"
"9891-ZXATIA-55Z","0"
"6246-WBWHHS-GFB","5"
"2212-AOYDMW-0ZV","8"
"8268-VLELYK-IJK","2"
"6023-TINSQC-7T4","5"
"2332-AAKERL-PNS","5"
"8888-ERPHEF-H3V","2"
"0213-HSPXOI-LYR","3"
"9095-NXHCNI-HXG","1"
"4115-RQKQTM-RXB","6"
"4730-MCQYEE-7XQ","6"
"4048-TDAQGT-9Y6","8"
"4336-AZJUON-KO0","5"
"5495-XNMJLP-GBP","7"
"9844-JTMVSQ-J5G","7"
"6960-IEHYJM-SCB","1"
"2566-HGSGRK-ROU","7"
"7164-HJCLUK-29N","8"
"5052-NKTQMH-BKA","2"
"8802-ZPAEGX-52Q","5"
"0309-KOSUPM-CSV","1"
"8514-TCRHWV-DPM","6"
"7441-RFDNVF-7SP","8"
"1150-ESKSKG-FRM","5"
"7196-SOFWOP-3K6","7"
"9083-WGKZAH-8XR","1"
"8552-ZQJYEJ-BW1","8"
"3686-HKVHPL-GU6","5"
"4923-DBKSJV-D3H","1"
"4588-ODXEGS-UGY","8"
"2689-VYLAYC-OSJ","7"
"1086-IKBULJ-52W","1"
"3149-SOXJIB-AZ6","3"
"0198-MUHWOZ-918","3"
"4487-UIOHOC-Y6X","5"
"3319-BOOXCD-PSQ","7"
"3630-CTGBIF-YIX","5"
"2594-FSOPWS-H02","3"
"3335-MFSNGA-J31","8"
"3239-YTOCDY-213","7"
"1226-OKZENG-YMZ","5"
"1946-CHZAKX-7PK","2"
"1587-LHMXIB-2NP","6"
"8916-LWSVNK-W0Q","1"
"3755-JZHSNC-YVQ","8"
"6055-WFKEYT-97B","3"
"4898-VWAWIL-UWT","8"
"0161-ZGCKJD-1M2","3"
"3330-YCHJNM-YA1","8"
"0481-RFVYIH-H7J","8"
"9830-UFEBRB-WOE","0"
"3912-EDPWEY-1ZP","3"
"4629-OUAIRK-MZH","3"
"9024-QQZDBM-RN4","7"
"1608-DQBMUD-AB8","6"
"4284-HHTPTO-Q5J","5"
"6828-JEJYIH-3EI","3"
"9723-VUGZBJ-ZQA","1"
"8520-MLQCDY-K1Y","3"
"6088-TDDVGT-XO0","5"
"8775-VURAWW-OS0","1"
"9852-FJWQJI-KV7","3"
"5645-BCARMI-G7Z","3"
"7414-PZJWWB-D1D","5"
"2578-QQXNBH-3G2","3"
"9334-IUMUSE-FAI","1"
"1866-UGNVHM-6F1","7"
"6170-RWXBEX-2CR","2"
"2447-WXAAQB-6K7","5"
"2583-FMHHBW-E5N","1"
"5097-JIRHCW-CFG","5"
"2979-LZXION-EKF","1"
"5802-HZRLCD-BHF","7"
"7444-WJWKGZ-67A","3"
"2688-GYVWQM-JSK","3"
"4435-FBUZVB-AES","1"
"9819-KBLSEK-N7M","5"
"7451-DHDPCJ-ZXU","6"
"6973-VFXJPS-W71","3"
"0286-ZUKLWW-UD1","3"
"9082-FIBGZG-W7E","8"
"2007-BEDDYV-62E","7"
"2076-HXNRRT-59Y","1"
"4238-LORPCR-80R","8"
"8724-ZFSGUO-JYL","3"
"2581-PFMMKD-4C6","5"
"6877-RTHCJH-M7A","5"
"1191-EGQJHO-ZJQ","5"
"6237-IDDHKI-H17","6"
"5085-RQHHUP-L2U","3"
"2981-FYZXBF-DM9","1"
"8446-TMJWQX-AK5","8"
"1476-ZJSUZO-GSO","5"
"9469-FWPWKV-HJY","7"
"8791-ICWRCS-WUD","2"
"2441-WRRBMV-9VV","2"
"0815-FGMWDH-Y8D","5"
"6991-FJSWKW-ADG","3"
"0142-QMGDVL-8WD","5"
"8214-NVCQAC-3HH","7"
"1884-TYBPZG-HGL","5"
"0072-MQVNDV-4KO","3"
"5788-QLVXSO-HER","6"
"8931-XMXDFT-RXL","6"
"3682-HHDSLK-HXO","5"
"1516-CYANIZ-RY8","3"
"7570-FPTDKK-0IF","6"
"7515-AFJDMR-B0B","3"
"1684-SWFFWY-K3C","5"
"2049-KTNHMV-YMX","5"
"1085-WJCGKC-MRO","5"
"9249-AXADUL-D5S","5"
"1734-EAYBEZ-PZ0","6"
"3385-UPMYTY-3KI","0"
"2931-WBFVCF-CNX","1"
"9639-WDHBCL-5A8","1"
"9081-UBQDSR-6IK","8"
"8639-AUPQYM-25S","5"
"8745-DMQULS-JO0","6"
"6163-GILGEU-DY5","8"
"7939-ERYSUF-ZB5","6"
"0077-YFKJAV-D91","3"
"6322-BPCXEI-Q4D","2"
"7426-RJRFFK-CYX","7"
"1712-VZCJTW-W1K","3"
"3736-LXGHWH-QT3","3"
"8405-GXTJBV-W7N","6"
"5214-MDMLPQ-1MT","3"
"6762-UARYPL-51S","1"
"0046-IBWRNV-OP7","5"
"2834-OGEVTU-9O7","5"
"8157-GPGMVO-VJW","5"
"0037-VHZRCO-JXT","7"
"2802-MDQRFW-U5L","5"
"9108-FHQQBK-LAH","5"
"1570-TKBDYZ-6W5","2"
"1321-FAHMBA-8RX","5"
"8828-EKUUDS-Z2E","3"
"8765-JDCAXZ-S3V","5"
"8723-NTRQSS-JQZ","1"
"6844-VETJBH-XEI","7"
"0423-RHVQHI-61H","3"
"0803-ZSJGGL-OSE","3"
"5219-ZVCGZQ-LCE","5"
"0290-RPEAHR-8B2","8"
"9783-VWYGCO-70P","8"
"8477-FURXBL-V98","1"
"3631-ONIBHG-JMI","5"
"2563-WMFFVX-82H","3"
"9827-QPOKBY-LKO","2"
"3145-VNGWUY-ZQS","5"
"4025-RCPSYI-803","3"
"6442-NNEOBK-8M9","5"
"3754-JJTSIX-HW4","0"
"4092-XAPMSL-F1S","6"
"5140-JORCZS-SWG","6"
"9751-UJKWLO-R2B","5"
"3174-AHTEYY-QJK","5"
"8036-YWCZIP-OOA","1"
"1729-LDUPIQ-AKS","1"
"9523-PJUBAK-KSC","7"
"1512-XVXHMT-7YJ","3"
"9513-EFLYMG-UEA","3"
"0076-YGZXNR-QMC","1"
"7141-HNJHVQ-3VB","3"
"7689-PZGVSS-C8Q","7"
"3288-JVGWKD-YGB","3"
"1273-MSAUOB-2O9","3"
"0558-SITMGB-YZ9","7"
"4944-ITFWMY-KDC","8"
"1103-KTXUJS-ZPH","5"
"0570-SPHLVW-B1R","3"
"3402-FTLZQI-30T","6"
"6702-MJNIGH-KYH","1"
"0908-VOARVR-1L4","8"
"4459-SHQKCK-YYU","1"
"3319-YDSBGY-41V","7"
"4308-OSQDNR-9D6","3"
"6343-MDDJHT-XZJ","8"
"6378-WSYINQ-NNO","1"
"7442-JTPBTI-5SZ","1"
"3401-LGDNVB-E53","1"
"7670-PQQZMH-YSU","3"
"3303-GJYFBQ-K1T","8"
"7971-YHMWIH-PAT","8"
"4707-LKQWVH-DVB","5"
"3743-WMVESG-C4C","1"
"6220-DNXMOB-3CJ","1"
"7512-DILXWV-6YD","5"
"8389-PNASXX-NKE","2"
"4924-TJCPTE-P6D","1"
"4583-LDDOHQ-VFX","7"
"4651-FZBXWY-6F0","3"
"4157-SFKIZN-I6C","8"
"4000-PKSKNR-T9A","3"
"1751-IQPXZD-CZV","1"
"3553-EBMWFX-MVS","3"
"3000-DWUGGK-EXP","1"
"6989-XMMWMU-ORW","6"
"1931-NHXKGH-D3R","8"
"0778-ADCYKA-7HH","2"
"8563-XFYTWE-1CH","1"
"6529-QAKUNP-XYF","3"
"2413-ECMIEM-PSY","2"
"4453-FAJXXO-IUV","8"
"2952-JTVKHR-S7F","1"
"1018-INNKLF-Y2Q","5"
"1051-FVOLSM-6TE","3"
"9700-DGCABT-FRY","0"
"1092-JSLTHP-BCT","5"
"3011-YSOAMU-FQ2","8"
"7648-KAUMVM-HEU","3"
"6891-ARDRVC-EWL","2"
"7233-HQDDYC-VK3","3"
"0453-LYAETZ-K69","3"
"8201-AAESBF-GW3","1"
"8574-GUQVLV-C04","1"
"2392-WBLNQY-964","6"
"0359-DQOMHP-1YU","5"
"9176-YPUZOB-0X8","3"
"9393-XVJDYP-T0Y","3"
"3427-AFVORF-KSQ","5"
"3653-NZHSEU-GMC","5"
"1804-PVZNPU-R1J","1"
"9357-NOWBWV-55T","3"
"2613-HPXXOY-32A","3"
"5725-ECSRUB-X5V","1"
"9200-GVGEES-KKE","3"
"3736-XFNRBQ-RGC","3"
"9357-WUXLKE-TTP","3"
"4128-WQIOMO-MJX","5"
"2736-QDRAAN-VAI","1"
"5739-BYRLOH-4E9","1"
"3216-HYCWBS-R4X","1"
"5023-GJPZGQ-PDD","2"
"4251-UJCSCO-W61","5"
"2484-ZFXONS-Y8G","3"
"1163-JCDRWZ-Q3K","1"
"1351-APLKEM-62K","1"
"2175-VGCTPF-370","3"
"5161-SAEGFS-T7Q","5"
"2603-JDZIQN-SZF","3"
"2459-RBRPIE-BI3","5"
"2591-HAWSSX-B1M","1"
"0044-LVJIBD-G76","3"
"8454-WYVBYJ-22N","7"
"9769-TIWOIU-7YX","3"
"9999-EGLHVE-19G","1"
"7731-TDRNOT-PZX","3"
"4030-WSTXBV-BTC","8"
"5547-KHAYAE-2AW","8"
"2581-UPECEP-JVH","8"
"3542-FMTLYP-O4P","5"
"5649-GIECLS-1ZJ","5"
"7524-OITCVK-NGI","1"
"8320-TNOHJH-48E","1"
"5593-ZOVUTO-QGA","8"
"0127-NJJYNR-WUP","0"
"0256-VFLEDH-Y42","5"
"4080-WVWCSJ-5KU","8"
"8974-LHXTHT-IZ5","1"
"4563-GBQFAH-LGL","0"
"7833-BKSOZR-8NC","5"
"2833-ORNEXA-0T3","6"
"3086-WRWJTT-HZR","1"
"7981-ZGZQNR-WLL","1"
"1090-UJJPXK-6CC","6"
"1492-MUMVFT-GK0","1"
"9484-XPXYRM-EKK","5"
"7442-PTTPUB-IR1","8"
"1833-MUWCIB-24I","7"
"6700-YQAMUY-AMS","3"
"0256-JXPOLY-RHL","7"
"4323-JKNASP-Z5I","7"
"3198-MUUHTP-59E","7"
"9758-OITZZF-IN8","6"
"1537-EOLBHN-V36","3"
"2226-UNHNYR-8Z9","8"
"3677-RCTNGD-2YK","7"
"5575-OHSPKK-PQT","3"
"9829-URPLKI-D16","5"
"7449-JUWOQG-ETO","5"
"1168-SOZEIT-VZE","5"
"5707-ZSNWSX-HMG","5"
"9325-WPUGWE-EUA","3"
"2016-DLJMNC-NIF","1"
"9369-JGANTZ-TWM","5"
"7131-DZKXSP-AYH","1"
"7618-WWRKRN-8S6","5"
"8877-ZFRMNO-VHG","0"
"3845-JKYVBV-CUZ","7"
"9841-HCDWMI-E3T","7"
"6411-UBAAYJ-XDJ","5"
"6670-CAOOLM-DC3","5"
"8896-GPAXGQ-GFS","8"
"1716-RVHNCT-ZVF","5"
"4668-SXFBSK-ENH","1"
"6281-YXHVKP-VKM","6"
"2627-JVEEIV-9S6","8"
"1844-MWTFIG-QB1","1"
"8789-SCPEIS-C7B","2"
"2247-HJDSTO-CGV","5"
"7291-GKVRNH-DFX","7"
"6672-TXBPJN-IDF","5"
"8350-CWQQCH-O07","3"
"6127-NZFYZA-1CA","8"
"1341-ZSKCOA-3SH","3"
"6618-IFTTDL-V8P","3"
"8505-MZQBHT-GH5","7"
"7556-RQGMIC-BXZ","2"
"5060-SERQNE-ND1","3"
"2394-ACVTAK-ENR","6"
"5561-RICGZN-AJ6","6"
"6531-KXPPVV-UYG","8"
"5540-HQXVZL-NKU","6"
"9860-AXCYEV-DW4","1"
"2476-OPMBAR-76N","3"
"1644-WUTPTF-V6K","8"
"7150-DZQCQB-HXX","3"
"5112-XIXXKN-WNM","1"
"0296-BWZTYP-TSU","7"
"9322-UHIXUR-7C7","3"
"8512-KZJXAA-A34","3"
"7962-MQXUZL-867","3"
"0739-WNEZRW-TK8","5"
"4492-CGFPOU-I65","3"
"9772-PVKSGK-BYH","8"
"9523-USJEJO-ATB","5"
"8763-QYSMSO-QJE","3"
"6650-HLORKG-TOD","6"
"2265-ODATGB-HEX","5"
"7621-GEJAXT-BJC","1"
"1150-JDPNOL-QAG","7"
"5761-YOVILE-GCH","3"
"0324-CARFOI-F9Q","3"
"6945-YQLRLR-PF0","1"
"2681-FGWTIM-PR4","8"
"5975-XCLPCP-DXU","3"
"2589-LDUDOZ-UZ9","3"
"3549-VYOSGM-1YA","5"
"9433-QMQDMN-KPW","6"
"5912-YTXPVG-BNA","8"
"0522-AGGIEE-B3P","6"
"0139-XRFSOB-402","3"
"0297-JQFCXO-IEU","5"
"2871-SNYBHM-CFV","1"
"0504-ADVPUZ-TX6","3"
"9381-GBLQVX-22A","3"
"1328-FSHKMU-DEN","3"
"3957-CXVHIS-5IC","3"
"5384-UZYOGL-D12","8"
"6461-FEHGND-IL1","8"
"7514-EULFIQ-VLP","3"
"3675-YYXWTP-H4F","8"
"4167-DAPNVW-9C5","2"
"8035-AAOARQ-CHX","5"
"7118-OKIQZT-P01","1"
"2736-SHWWRW-TA2","7"
"1241-BECLPB-0DV","3"
"4952-HQNBEK-KCJ","5"
"8585-ZAIQRV-V3O","1"
"0120-GCQSYY-BC4","8"
"9141-IMUZJW-U82","1"
"1044-QRFUCQ-ROS","1"
"9877-ZIUCDE-U4J","3"
"7820-PLZGTY-X1X","3"
"9266-OLZOZZ-5H5","5"
"3493-FCRLYI-KXB","1"
"3757-RERTCC-6IF","5"
"9932-JRQLDZ-AYG","1"
"8413-FSASIJ-JYM","5"
"4537-OKWPPY-O6I","3"
"0206-WPXVWW-W8K","0"
"4220-KXXAHD-2EE","3"
"7153-LSYSBU-BBY","8"
"0455-EFUBYG-CW2","8"
"9540-SJICFS-LU2","3"
"2274-UGYWSN-SL3","8"
"8624-ACFLUI-IAT","6"
"4366-EKZZYP-O9U","1"
"8485-EOQMEY-W3H","5"
"6677-HFMVVT-AM5","5"
"5608-DVLMSV-KD0","0"
"1196-LXFRGW-4PI","2"
"4722-ZODSIY-HVL","3"
"8970-HPJHWA-ADR","8"
"6966-BEJNEM-J8E","5"
"8013-UVWBWL-O01","3"
"3328-JFBBON-Q61","1"
"2480-RBGZYO-AWH","6"
"0216-CBFAEO-2KQ","2"
"6319-CCXCLW-7UL","5"
"1006-NXBJVK-IB7","5"
"2582-FTCAHT-UIJ","3"
"1112-NHRPOQ-7OR","8"
"5386-SATTOH-CQ0","8"
"3685-WTAVBE-RC3","7"
"5525-ZLNYDQ-KWB","5"
"0813-CCISZQ-9OE","7"
"1365-PWONHV-GEQ","8"
"7147-LQCKDM-EOP","1"
"7765-EPLSBP-3Y8","8"
"7868-DWLPFD-4N4","6"
"9298-YHUIAW-0YS","8"
"2916-THRYUW-FN8","7"
"8438-ZMTWWO-5I8","5"
"7819-MKFQJY-7WQ","8"
"1393-BYEGCB-TB0","3"
"8783-KJXVKE-43W","3"
"0063-DWPGGH-D1I","1"
"4948-AKXWUE-3KV","8"
"8608-OGABQO-XFZ","1"
"8009-ALGRDH-LFA","1"
"2387-DDPNPM-O28","5"
"7268-IWPXCN-LTQ","3"
"6682-WREGJX-Z99","1"
"3368-ZCWPCN-HA0","7"
"9079-XPFBAP-SGV","3"
"1880-INKZQO-1BC","5"
"7267-RMHTZA-C3Y","5"
"9660-SKUWKE-D6O","7"
"9202-ICFPVU-5YX","5"
"4967-ODLSCM-0BB","5"
"1834-XSMYEN-4YY","8"
"7427-GBEXPI-I8A","3"
"4399-MPLFCL-9BF","5"
"3578-HUYDRN-L6T","5"
"0249-WNVELU-RFS","3"
"0805-UWFJJK-IBP","1"
"9646-FRBESD-5CK","1"
"8922-AOMTSH-MV7","3"
"2192-UDBMYJ-906","5"
"2556-MKLXCQ-BX9","3"
"1777-HBKRZD-JQO","5"
"9952-CNPOYJ-0KL","8"
"8325-ZRCRQV-455","6"
"1251-RESMMB-YF9","6"
"8722-QXBTTE-ZZN","3"
"7626-FZMBJH-OQD","7"
"7947-EPKTEL-1MC","8"
"1929-FGHSMO-Q5X","5"
"0834-RBTMKF-CU4","3"
"9699-YXPXDK-8T6","7"
"8583-RQVIST-7VX","5"
"3392-NJULOB-XK7","7"
"3452-DOHASX-2US","3"
"4956-VDMHXW-GKS","5"
"2237-TUKLNM-ZO0","8"
"3089-YPDOZJ-LRJ","3"
"3828-LGMSNZ-EVZ","1"
"4035-PPXNFZ-T23","8"
"8366-QJOKTN-CCN","6"
"7566-GMUKDS-XU5","6"
"5516-LPBDAU-154","5"
"1440-RJDTZI-UQW","8"
"5023-ODJCVE-0NJ","3"
"0121-DXYYZN-UXZ","1"
"5634-ISKLHN-QQY","3"
"9371-AWVRRA-R9V","3"
"6695-ZNEGRG-VXI","1"
"9428-PNSZFS-80P","1"
"4288-VFIKHM-0EB","5"
"6119-EFZLRD-HDT","8"
"3992-YOCQDJ-8IG","6"
"9672-IOQEXF-W7O","7"
"4515-SJCSTC-N2E","3"
"7920-JTYUYJ-YYP","6"
"5750-CLGDQH-59F","3"
"2268-SLMOUA-4NQ","6"
"0224-HMKMEG-EJF","3"
"3368-OZTRCS-7YE","3"
"7072-FQJEQO-MMD","6"
"5549-BMXRWY-0CZ","8"
"7223-WQOPSV-H4H","5"
"8898-ORQVDW-F5B","1"
"9165-BGQZIE-JB5","3"
"3211-CRAXTL-L7G","3"
"4467-HQTBGE-T9R","1"
"3741-RLHCJC-6U3","8"
"3616-HWFWRS-J0L","1"
"6487-QVKCTD-070","5"
"2845-KNIRYP-1AZ","7"
"5259-ZYZWME-F11","3"
"0692-OLRDWC-XGB","6"
"6035-BJITZI-CTD","1"
"7858-HZMYYL-SX0","2"
"5848-OBDEYF-QFM","5"
"2957-ETHHYR-BGZ","3"
"5006-BNNHTO-OTT","5"
"5965-LSSWOB-EBG","6"
"7497-UQMUDN-ISJ","8"
"9463-GTNGEI-EIZ","6"
"4830-IXDHQP-PGJ","2"
"8824-SHUCKM-5H0","3"
"2671-KHXXZH-R6J","3"
"9706-LRUNNB-VUT","1"
"1941-WNBUWJ-TT4","5"
"6628-IPPLBH-OTD","3"
"5950-ABTMRH-4D5","3"
"3119-MCSDET-L9F","1"
"9473-DFUBBK-ZNM","7"
"4115-QQAQMS-3UO","7"
"8492-XMDDBH-M71","7"
"9949-AFKEEO-2UJ","3"
"4259-LUYYFF-MOM","5"
"8614-KKHWFJ-HPK","5"
"3436-UUXXBT-FLN","3"
"3427-RFRVJO-UTV","6"
"2675-YSBKYV-O7V","8"
"1742-XEDSAA-8WT","6"
"1121-PQHFDY-UBW","7"
"5550-RHCYLI-I46","1"
"6849-INEROL-JMY","1"
"6385-FTTNJU-7GQ","1"
"2685-JGCTCK-CAA","8"
"0255-AJDJGP-JXL","1"
"0627-MAMIBI-P9U","5"
"9859-HVFWTA-SPQ","1"
"4109-JHKHTK-DYJ","1"
"7434-XKONYL-EBW","7"
"5599-BCQQRG-DPB","3"
"1542-CBENYH-O88","3"
"4565-ZGPUAQ-WCB","2"
"7029-AQGOSU-NID","2"
"9976-EWHQDK-CWR","5"
"3566-DRQMDC-TNF","2"
"5907-WLVNJA-C0N","3"
"9337-MAIPAF-W8G","3"
"9693-EYQCTU-O92","5"
"3580-ESDOJO-PLY","3"
"8556-OAMUPP-4YG","7"
"9755-GDNGDU-RHC","3"
"7448-PLNMET-VCI","8"
"0995-IKDXEO-UL1","3"
"3436-NIDSLT-XB7","5"
"3527-XFEFWW-08A","5"
"2915-PWFHWV-VJT","3"
"7634-DYMZLJ-1FV","5"
"5967-QLYOLM-8QN","3"
"0629-NGBEXR-SD1","7"
"4227-XNKGCM-1JC","6"
"7244-NTQUTS-IDH","5"
"4615-QZQSAY-D51","1"
"5716-RSRKLP-5GG","8"
"5380-DOESXJ-FLH","3"
"0151-PMYWWF-53S","3"
"6748-SBHSWH-5YE","5"
"0707-GXMTZS-HUH","6"
"9099-FFFQAY-E5L","1"
"4379-AXDMBJ-ZW4","3"
"9115-KVYZEP-B7Q","5"
"0682-JUKJXV-J8M","2"
"6584-OXUOQX-XLL","3"
"2370-SDAXRA-MZA","8"
"8266-FRTLWJ-0DV","5"
"6989-FAVLSU-F2E","8"
"7275-NTATAS-Q5B","5"
"8352-CUJWGY-KS0","3"
"7201-MHZOOH-HAG","8"
"7114-PVNDDF-M7E","5"
"1068-MWHNDT-1WC","5"
"8629-HYFVOR-FTL","5"
"0804-IGMRBV-4TS","1"
"6522-HZJXBL-K1X","7"
"2346-XOLOPT-KCY","8"
"6246-GQGGGZ-BIB","3"
"6310-RDCRWA-S03","5"
"5875-LSAGSD-2V5","5"
"0871-WPZJPL-UJP","0"
"9872-RSYZHI-NQ9","2"
"8909-ZPTWKD-PQL","3"
"8522-GWNYLT-SIR","3"
"2288-MSMKUW-O3Q","3"
"1538-IPVOSQ-KVC","3"
"8411-UWVCAW-3GO","8"
"2527-KPBDLX-OHS","7"
"1456-WRXMLK-KUA","5"
"8336-FKVSKN-ZRS","3"
"0022-UFDRNE-TAW","3"
"2680-QCLJXZ-EQU","8"
"1938-JTJUST-QRR","8"
"0694-OXLKRA-XTD","1"
"1567-HTQZHJ-ZZH","5"
"9851-IOJSCQ-EIQ","3"
"6837-HQAQES-KML","3"
"2522-TNGXCC-PIJ","3"
"2191-CUHTQT-YQM","5"
"1800-CODOXF-AZG","3"
"3321-IJNSUK-PB4","1"
"2818-TTESFC-FE0","5"
"6311-CWVIVQ-NWL","3"
"9004-UQQFLE-HQ8","5"
"7937-BKWGKO-3WB","2"
"9465-EXYIYN-Y0W","6"
"7013-YDRUVV-BI0","8"
"4363-QNUQZX-38O","5"
"2053-XYIODV-NZC","7"
"9032-INJQKT-7XT","0"
"6563-MRELVK-DKY","3"
"2367-KGZCVL-1KS","5"
"2813-JDFZXK-8PF","5"
"6385-ZZAJYG-PJY","3"
"3393-NQWUZE-BLU","5"
"7726-ENYBND-9P5","3"
"6482-JDGOIS-PBG","3"
"1457-HBHXCK-UCV","5"
"1234-QJMHAW-ZVY","3"
"9315-LTBJBN-82Q","5"
"5763-RNFRHC-F2U","1"
"4538-HQXUHM-ANV","5"
"7805-VEIMHX-TSR","2"
"4710-BNMUEH-HYF","3"
"7122-CKVHZS-C19","5"
"5937-XVXXNR-WX8","8"
"2641-HDUCAQ-IZO","7"
"0239-JWVLSP-UOK","1"
"1547-YZRUKA-5XO","0"
"5536-WZBPSX-F6M","6"
"6042-KSWNFY-WWY","6"
"2655-ZCMVRX-G4C","2"
"8817-WGSBSL-R2Z","2"
"5396-DVOVKZ-L9L","3"
"5691-HXXWOM-KYJ","3"
"0769-OVRWLS-9ET","5"
"6834-CTSBPJ-Y08","3"
"4287-EGDWYC-Q9E","7"
"9087-CKDUEI-LST","5"
"1505-IZGNXN-HKS","8"
"1372-QLEMRX-D6S","1"
"5461-DIKJSU-PKA","3"
"7336-YMICSH-AEW","1"
"4232-OLMAKY-ZP8","1"
"4776-JSYTGL-1DL","5"
"3199-QFDSWE-T2O","7"
"9600-FZQSUD-BNJ","8"
"7760-ONDKKV-RTH","7"
"7855-WHDGPJ-P7I","6"
"1380-JHNOCX-S0J","3"
"1577-QPQCTM-4DS","1"
"4174-ALPRQK-RNU","1"
"3854-JFVVZN-I26","1"
"2872-TLUUHK-QVD","5"
"5446-OKQURC-P1C","2"
"3400-LNIAAN-QRC","7"
"2428-IHYQJT-SCW","8"
"3896-KXFFYW-P0V","5"
"9579-WHIKLU-797","8"
"6190-YQUYJH-0R0","3"
"2411-MMBOGL-GYT","8"
"2186-YVXWFX-SFN","8"
"7150-GEPRGZ-002","3"
"4415-DKZNPG-2NK","2"
"0565-IUOEPY-L2C","5"
"4271-REKPVR-XRF","3"
"4902-YZQJLK-X9Y","2"
"9320-EDQQYT-0BC","7"
"4832-RPYIRD-PPJ","0"
"3781-YLZJMC-441","1"
"7778-DNOBGG-D5L","5"
"2732-ZJVWFW-LQX","3"
"7810-JPMYAE-3RK","3"
"1317-OEYPNM-WZ4","5"
"2895-TGIPGU-5AX","1"
"5241-NSCEJF-TC0","5"
"8186-AQAHQR-DXH","5"
"5077-FHXWSD-9M7","3"
"5842-TNPADO-ATA","1"
"5929-MQKELC-0J1","5"
"3939-MIHPNM-6DR","5"
"1412-IVOLMS-APB","5"
"5486-MVLAXH-P6G","5"
"0981-OXBITV-LFH","5"
"3011-WRPHWB-F9V","3"
"3765-GXAGFU-R6L","3"
"2896-SPVOQE-F5N","1"
"7452-QFUORC-C03","3"
"7088-IYBRBN-0ZO","3"
"4346-LXATXY-PZ1","7"
"8303-FMTTXN-4DO","8"
"4541-XPKEVA-VFY","6"
"2349-ZEGZUZ-VRH","1"
"9603-SSNZAA-FKV","1"
"5071-YMPEFZ-4BK","7"
"9406-UAPEXS-YLU","7"
"6340-RNSKSA-Q6S","3"
"4314-SOPKIL-OLR","5"
"8335-ZOKNFJ-H8X","3"
"8129-OUMYHB-J7K","6"
"1728-IMNMSD-D4I","3"
"5974-PBPYDC-4T6","5"
"6799-OAHDNM-FOU","8"
"9866-SSBACV-AH0","3"
"4680-BEYUYC-LTI","7"
"7396-MAQYNI-C6V","2"
"7623-HVKOMY-1ZI","5"
"2244-ZENVGB-OMJ","3"
"2646-CHSJDY-JKY","3"
"9277-MOJACF-1DM","8"
"4810-ZTJBZX-RFO","3"
"7357-DKWNYI-60W","5"
"3762-YCXKVW-E8F","1"
"4437-BZJUWE-2IM","6"
"7803-BRQTCG-6NW","1"
