"Customer ID","NumberPlans","NumberSubscriptions","NumberDevices","NumberServices","MonthlyDataUsage","StreamingHours","VoiceServiceUsage","TelecomProviderTenure_months","kmeans_segment"
"4973-FHPBZQ-AAA",1,2,2,1,0,25,36.75,47,"2"
"4726-RQKGNB-WAK",4,3,4,3,55.8,20,109.05,71,"6"
"6592-QBSENI-6Y4",1,2,0,2,0,29,16.5,3,"1"
"5538-DRGHIE-PF0",0,0,1,1,0,30,23.55,16,"1"
"3550-PQUPPM-42T",4,4,4,4,61.25,10,10.2,36,"6"
"9809-NBCXAS-1RB",2,1,3,0,0,29,20.25,38,"4"
"8733-EDAXNE-8DV",4,3,3,2,36.45,22,66.15,69,"6"
"8170-YHWTSQ-825",1,3,1,2,0,21,59.4,46,"2"
"1144-GVCZDP-8DV",3,2,4,2,62.3,22,21,31,"6"
"8846-JJEGFU-I69",3,2,4,2,19.35,13,39,41,"3"
"4226-TEHKPJ-GKG",1,3,0,3,0,29,27.9,49,"2"
"9714-LCYJJB-SCS",3,2,2,1,0,22,43.35,46,"2"
"2866-TTOTKL-TA7",1,1,0,0,0,20,15,31,"1"
"7217-UECHSF-PCR",3,2,1,2,19.7,28,19.5,23,"3"
"0197-AMEAYR-851",1,1,2,0,0,19,18.45,21,"4"
"1743-WAHPKT-DNW",0,1,0,0,0,12,12.9,16,"1"
"9840-VEWFQZ-W5V",0,0,1,0,0,18,19.95,27,"1"
"6203-JLXPIJ-YQZ",2,0,0,0,0,13,48.45,62,"2"
"4166-WEDNXN-5RK",1,0,2,0,0,17,14.25,13,"4"
"4643-WSLHBV-DM5",4,4,4,4,57.05,13,40.05,48,"6"
"1441-JNZRPW-8KQ",0,0,2,0,0,18,12.15,3,"1"
"5811-BKUTYY-F7I",2,2,2,0,0,16,49.65,42,"2"
"0926-OZQUQX-GXA",2,1,1,1,0,26,38.7,48,"2"
"5007-HXEVVL-NW5",4,4,4,4,50,22,16.8,37,"6"
"8101-YOBRYX-REF",2,1,3,2,21,12,17.25,18,"4"
"8267-UTARFV-TZK",1,2,1,1,0,18,16.8,30,"1"
"4432-KMTQXO-788",4,5,4,4,60.5,14,66.15,66,"6"
"9172-WITHKP-BXZ",4,3,3,3,43.15,22,51.15,57,"6"
"1114-UELZXT-QT7",1,3,1,2,0,21,53.1,64,"2"
"0992-DNDKIT-CUP",1,1,3,0,0,18,21.6,29,"4"
"2654-JRLXAI-HC7",0,1,0,2,0,20,27.6,31,"1"
"0405-BACHZT-AYK",2,2,4,1,25.4,22,17.85,5,"4"
"4939-KCMADL-HLM",3,2,2,4,32.2,20,20.25,39,"3"
"4724-UVMKNV-Z1I",1,1,0,0,0,33,57.3,66,"2"
"4231-HZEXGK-HRI",1,0,1,0,0,19,6.15,8,"1"
"4979-WSWKYV-BSV",2,1,1,0,0,24,36.75,52,"2"
"7245-IUATZR-VLV",0,1,0,0,0,21,9.6,27,"1"
"2041-WAUPOH-84L",0,0,2,0,0,20,17.1,14,"1"
"5472-GUGMBS-ZVK",1,1,1,0,0,17,13.65,6,"1"
"1811-FUILIP-L3S",2,2,0,2,0,16,125.25,70,"5"
"2687-GRSYRT-YRW",0,1,2,0,0,15,13.35,21,"1"
"9184-ABVZGX-Z4V",4,3,3,3,84.85,17,66,68,"6"
"9891-ZXATIA-55Z",0,0,1,1,0,18,42.3,36,"1"
"6246-WBWHHS-GFB",1,2,3,2,0,20,32.4,31,"4"
"2212-AOYDMW-0ZV",3,2,1,1,0,16,107.4,72,"2"
"8268-VLELYK-IJK",0,0,0,0,0,15,23.85,28,"1"
"6023-TINSQC-7T4",4,4,2,3,22.65,17,30.3,14,"3"
"2332-AAKERL-PNS",1,3,0,1,0,19,28.5,60,"2"
"8888-ERPHEF-H3V",0,1,0,0,0,29,15.15,32,"1"
"0213-HSPXOI-LYR",1,1,3,0,0,20,14.1,10,"4"
"9095-NXHCNI-HXG",3,3,3,4,28.75,16,12.9,2,"3"
"4115-RQKQTM-RXB",2,3,0,0,0,24,44.4,50,"2"
"4730-MCQYEE-7XQ",4,4,3,3,49.25,20,46.95,41,"6"
"4048-TDAQGT-9Y6",3,3,1,4,0,16,302.1,72,"5"
"4336-AZJUON-KO0",2,2,3,3,0,24,37.2,40,"3"
"5495-XNMJLP-GBP",3,3,2,3,0,22,73.65,70,"2"
"9844-JTMVSQ-J5G",3,5,3,3,0,21,55.5,69,"6"
"6960-IEHYJM-SCB",4,4,4,3,30.8,33,10.95,7,"3"
"2566-HGSGRK-ROU",4,5,3,4,74.8,19,59.85,56,"6"
"7164-HJCLUK-29N",2,3,1,3,0,16,140.1,72,"5"
"5052-NKTQMH-BKA",0,0,3,0,0,16,19.8,17,"4"
"8802-ZPAEGX-52Q",2,1,1,0,0,17,31.35,54,"2"
"0309-KOSUPM-CSV",1,1,3,1,0,20,11.1,10,"4"
"8514-TCRHWV-DPM",1,0,0,0,0,16,46.05,26,"1"
"7441-RFDNVF-7SP",2,2,2,0,0,16,220.65,72,"5"
"1150-ESKSKG-FRM",1,0,0,0,0,21,34.35,42,"1"
"7196-SOFWOP-3K6",3,2,3,1,0,23,67.95,69,"2"
"9083-WGKZAH-8XR",1,1,3,1,0,27,6.3,1,"4"
"8552-ZQJYEJ-BW1",3,2,3,0,0,12,204.3,70,"5"
"3686-HKVHPL-GU6",2,2,1,1,0,27,30.6,62,"2"
"4923-DBKSJV-D3H",2,2,4,1,0,20,6.75,14,"4"
"4588-ODXEGS-UGY",2,2,1,1,0,20,96.9,70,"2"
"2689-VYLAYC-OSJ",1,1,0,0,0,18,60,63,"2"
"1086-IKBULJ-52W",0,0,1,0,0,15,4.2,1,"1"
"3149-SOXJIB-AZ6",2,1,2,2,0,23,19.2,36,"4"
"0198-MUHWOZ-918",1,0,2,0,0,14,15.45,8,"4"
"4487-UIOHOC-Y6X",2,3,2,4,0,24,38.25,56,"3"
"3319-BOOXCD-PSQ",3,2,2,0,0,21,67.5,65,"2"
"3630-CTGBIF-YIX",1,3,1,1,0,22,34.8,63,"2"
"2594-FSOPWS-H02",2,2,2,0,0,18,23.4,45,"4"
"3335-MFSNGA-J31",1,3,0,4,0,16,86.4,71,"2"
"3239-YTOCDY-213",3,3,4,3,0,19,70.8,68,"3"
"1226-OKZENG-YMZ",1,4,1,2,0,28,30.3,26,"2"
"1946-CHZAKX-7PK",0,0,2,0,0,25,15.75,26,"1"
"1587-LHMXIB-2NP",1,2,0,1,0,18,48.9,59,"2"
"8916-LWSVNK-W0Q",1,2,0,3,0,14,11.4,8,"1"
"3755-JZHSNC-YVQ",2,2,1,1,0,21,176.55,72,"5"
"6055-WFKEYT-97B",2,2,3,0,0,20,17.7,18,"4"
"4898-VWAWIL-UWT",4,3,2,1,28.25,18,90.3,59,"6"
"0161-ZGCKJD-1M2",1,1,3,1,0,20,19.2,5,"4"
"3330-YCHJNM-YA1",4,4,4,4,44,15,78.3,62,"6"
"0481-RFVYIH-H7J",2,3,1,3,0,23,85.35,70,"2"
"9830-UFEBRB-WOE",0,0,0,0,0,16,40.8,30,"1"
"3912-EDPWEY-1ZP",3,1,2,0,0,24,25.35,48,"4"
"4629-OUAIRK-MZH",2,3,1,2,0,17,26.7,61,"2"
"9024-QQZDBM-RN4",3,2,1,2,0,23,55.35,71,"2"
"1608-DQBMUD-AB8",4,5,4,4,68,21,54.45,67,"6"
"4284-HHTPTO-Q5J",3,2,1,0,18.15,13,34.5,31,"2"
"6828-JEJYIH-3EI",1,1,0,2,0,25,16.35,29,"1"
"9723-VUGZBJ-ZQA",0,0,2,0,0,24,12.15,2,"1"
"8520-MLQCDY-K1Y",2,0,1,2,0,12,20.85,17,"1"
"6088-TDDVGT-XO0",2,3,2,3,0,23,29.1,60,"2"
"8775-VURAWW-OS0",0,3,1,1,0,18,13.8,27,"1"
"9852-FJWQJI-KV7",1,1,1,1,0,16,17.85,14,"1"
"5645-BCARMI-G7Z",1,3,1,3,0,25,26.4,25,"1"
"7414-PZJWWB-D1D",3,2,3,0,0,0,43.8,50,"2"
"2578-QQXNBH-3G2",1,3,1,2,0,14,17.4,11,"1"
"9334-IUMUSE-FAI",1,0,0,0,0,18,11.7,15,"1"
"1866-UGNVHM-6F1",1,2,0,1,0,27,75.6,70,"2"
"6170-RWXBEX-2CR",0,0,2,0,0,17,27.15,9,"1"
"2447-WXAAQB-6K7",1,0,0,0,0,17,29.25,34,"1"
"2583-FMHHBW-E5N",1,2,2,2,0,0,6.9,2,"4"
"5097-JIRHCW-CFG",1,3,0,1,0,21,36.15,51,"2"
"2979-LZXION-EKF",1,0,1,1,0,0,9.9,8,"1"
"5802-HZRLCD-BHF",1,3,1,1,0,29,75.15,63,"2"
"7444-WJWKGZ-67A",3,1,3,0,0,19,16.05,37,"4"
"2688-GYVWQM-JSK",4,5,4,4,62.35,14,23.4,35,"6"
"4435-FBUZVB-AES",0,0,1,1,0,23,12.6,49,"1"
"9819-KBLSEK-N7M",1,0,0,0,0,17,28.8,34,"1"
"7451-DHDPCJ-ZXU",3,2,3,1,0,24,54.6,60,"2"
"6973-VFXJPS-W71",3,2,3,1,25.25,28,27.45,50,"3"
"0286-ZUKLWW-UD1",2,1,3,3,0,21,18.9,21,"4"
"9082-FIBGZG-W7E",2,3,0,3,0,15,82.8,67,"2"
"2007-BEDDYV-62E",2,2,1,0,0,22,72.75,64,"2"
"2076-HXNRRT-59Y",1,0,2,3,0,20,13.05,21,"4"
"4238-LORPCR-80R",2,2,0,1,0,17,132.6,72,"5"
"8724-ZFSGUO-JYL",3,2,3,0,0,17,20.7,42,"4"
"2581-PFMMKD-4C6",3,1,1,0,0,23,42.3,63,"2"
"6877-RTHCJH-M7A",3,2,3,1,29.5,26,30.45,33,"3"
"1191-EGQJHO-ZJQ",3,1,1,0,0,13,36.9,36,"2"
"6237-IDDHKI-H17",2,1,0,1,0,20,54.6,43,"2"
"5085-RQHHUP-L2U",1,2,1,2,0,20,23.4,45,"2"
"2981-FYZXBF-DM9",3,3,3,4,32.55,20,11.4,3,"3"
"8446-TMJWQX-AK5",2,3,0,2,0,23,104.55,64,"2"
"1476-ZJSUZO-GSO",3,4,2,3,36.25,12,28.35,29,"3"
"9469-FWPWKV-HJY",3,2,3,0,0,19,66,69,"2"
"8791-ICWRCS-WUD",0,0,1,0,0,20,17.1,7,"1"
"2441-WRRBMV-9VV",0,0,1,0,0,17,17.4,10,"1"
"0815-FGMWDH-Y8D",2,1,2,0,0,25,35.1,26,"4"
"6991-FJSWKW-ADG",1,1,0,0,0,24,20.55,59,"1"
"0142-QMGDVL-8WD",3,3,3,3,0,16,39,49,"3"
"8214-NVCQAC-3HH",2,3,1,3,35.65,20,57.45,71,"2"
"1884-TYBPZG-HGL",3,1,2,0,0,21,38.85,30,"4"
"0072-MQVNDV-4KO",2,1,3,0,0,22,23.4,31,"4"
"5788-QLVXSO-HER",3,4,2,4,35.45,13,47.85,59,"6"
"8931-XMXDFT-RXL",2,2,0,2,0,10,54.75,72,"2"
"3682-HHDSLK-HXO",2,2,1,1,0,20,35.85,68,"2"
"1516-CYANIZ-RY8",4,5,4,4,63.3,18,26.85,33,"6"
"7570-FPTDKK-0IF",2,1,2,0,0,19,47.25,68,"2"
"7515-AFJDMR-B0B",2,0,0,1,0,7,25.2,36,"1"
"1684-SWFFWY-K3C",2,2,0,0,0,18,37.5,61,"2"
"2049-KTNHMV-YMX",1,2,0,2,0,21,32.1,26,"1"
"1085-WJCGKC-MRO",2,1,1,0,0,30,39.3,64,"2"
"9249-AXADUL-D5S",1,1,0,0,0,17,31.65,43,"1"
"1734-EAYBEZ-PZ0",2,1,1,0,0,25,54.15,67,"2"
"3385-UPMYTY-3KI",0,1,0,0,0,23,33.6,44,"1"
"2931-WBFVCF-CNX",1,1,3,2,0,13,13.65,21,"4"
"9639-WDHBCL-5A8",1,2,2,3,0,21,7.05,2,"4"
"9081-UBQDSR-6IK",2,3,3,2,0,21,151.5,72,"5"
"8639-AUPQYM-25S",1,1,3,0,0,21,30.6,30,"4"
"8745-DMQULS-JO0",1,3,0,2,0,16,48.15,18,"1"
"6163-GILGEU-DY5",3,1,1,0,0,22,91.5,63,"2"
"7939-ERYSUF-ZB5",1,1,0,0,0,18,50.7,36,"1"
"0077-YFKJAV-D91",3,1,3,0,0,20,18.15,40,"4"
"6322-BPCXEI-Q4D",0,0,1,0,0,19,26.25,30,"1"
"7426-RJRFFK-CYX",1,2,0,1,0,23,68.85,69,"2"
"1712-VZCJTW-W1K",2,0,1,0,0,25,20.55,26,"1"
"3736-LXGHWH-QT3",4,4,4,4,46,21,25.8,49,"6"
"8405-GXTJBV-W7N",2,3,1,4,40.7,14,48.9,60,"6"
"5214-MDMLPQ-1MT",4,2,1,2,21.4,18,25.8,37,"3"
"6762-UARYPL-51S",3,2,3,2,24.15,23,9.15,4,"3"
"0046-IBWRNV-OP7",1,2,1,0,0,19,40.35,35,"1"
"2834-OGEVTU-9O7",1,3,0,2,0,21,42.3,53,"2"
"8157-GPGMVO-VJW",1,2,2,3,0,18,34.5,64,"2"
"0037-VHZRCO-JXT",2,1,1,0,0,22,62.25,72,"2"
"2802-MDQRFW-U5L",1,1,0,0,0,13,37.8,59,"2"
"9108-FHQQBK-LAH",2,1,2,0,0,24,33,42,"4"
"1570-TKBDYZ-6W5",0,1,0,0,0,21,25.8,35,"1"
"1321-FAHMBA-8RX",4,3,3,2,46.7,20,39.15,46,"6"
"8828-EKUUDS-Z2E",2,1,3,0,0,21,23.55,21,"4"
"8765-JDCAXZ-S3V",4,2,3,1,34.5,13,29.7,60,"6"
"8723-NTRQSS-JQZ",2,2,1,1,22.1,19,8.25,8,"4"
"6844-VETJBH-XEI",4,4,4,4,50.6,22,69.9,55,"6"
"0423-RHVQHI-61H",2,1,1,0,0,15,18.15,35,"1"
"0803-ZSJGGL-OSE",1,1,3,1,0,20,19.05,29,"4"
"5219-ZVCGZQ-LCE",4,4,4,4,61.95,19,36.45,61,"6"
"0290-RPEAHR-8B2",2,3,1,2,0,27,114.3,72,"5"
"9783-VWYGCO-70P",2,1,0,0,0,18,217.35,72,"5"
"8477-FURXBL-V98",1,0,2,0,0,17,12.15,7,"4"
"3631-ONIBHG-JMI",1,2,2,2,0,17,31.35,51,"2"
"2563-WMFFVX-82H",4,3,4,3,38.9,23,25.05,28,"6"
"9827-QPOKBY-LKO",0,1,1,2,0,13,23.25,42,"1"
"3145-VNGWUY-ZQS",2,1,3,0,0,19,39.9,54,"4"
"4025-RCPSYI-803",2,0,2,2,0,16,18.75,21,"4"
"6442-NNEOBK-8M9",3,2,2,3,24.25,14,30.9,34,"3"
"3754-JJTSIX-HW4",0,0,1,0,0,35,40.05,6,"1"
"4092-XAPMSL-F1S",0,0,0,0,0,15,44.25,45,"1"
"5140-JORCZS-SWG",3,1,3,0,0,16,48.9,65,"2"
"9751-UJKWLO-R2B",1,2,3,0,0,18,37.05,51,"4"
"3174-AHTEYY-QJK",1,3,0,3,0,16,31.2,38,"2"
"8036-YWCZIP-OOA",2,3,4,0,0,17,12.6,14,"4"
"1729-LDUPIQ-AKS",3,2,4,4,21.25,0,8.4,1,"3"
"9523-PJUBAK-KSC",4,3,1,4,45.5,17,55.65,70,"6"
"1512-XVXHMT-7YJ",2,1,3,0,0,18,16.65,19,"4"
"9513-EFLYMG-UEA",1,3,0,2,0,28,22.35,48,"2"
"0076-YGZXNR-QMC",2,3,2,4,25.85,22,12.15,6,"3"
"7141-HNJHVQ-3VB",1,2,0,4,0,17,22.2,36,"1"
"7689-PZGVSS-C8Q",2,1,3,1,0,10,67.35,58,"2"
"3288-JVGWKD-YGB",1,3,1,1,0,18,22.05,31,"1"
"1273-MSAUOB-2O9",3,2,2,0,0,24,24.9,15,"4"
"0558-SITMGB-YZ9",3,4,3,3,0,20,74.4,66,"2"
"4944-ITFWMY-KDC",2,3,0,1,0,19,101.25,70,"2"
"1103-KTXUJS-ZPH",3,2,3,0,0,14,42.3,2,"4"
"0570-SPHLVW-B1R",3,3,2,4,0,25,16.95,50,"3"
"3402-FTLZQI-30T",1,2,1,2,0,27,45.75,19,"1"
"6702-MJNIGH-KYH",3,2,2,2,22.5,12,13.05,5,"3"
"0908-VOARVR-1L4",4,3,4,4,41.05,19,180.6,72,"6"
"4459-SHQKCK-YYU",4,3,4,3,38.95,25,7.95,13,"3"
"3319-YDSBGY-41V",2,2,1,2,0,18,68.1,71,"2"
"4308-OSQDNR-9D6",1,1,2,2,0,17,16.8,23,"4"
"6343-MDDJHT-XZJ",2,1,0,1,0,14,116.7,72,"5"
"6378-WSYINQ-NNO",0,0,1,0,0,23,11.4,13,"1"
"7442-JTPBTI-5SZ",2,2,2,2,14.7,23,13.35,9,"4"
"3401-LGDNVB-E53",1,0,3,0,0,22,4.35,1,"4"
"7670-PQQZMH-YSU",4,5,4,4,84.5,23,22.5,28,"6"
"3303-GJYFBQ-K1T",1,3,0,1,0,20,81.45,69,"2"
"7971-YHMWIH-PAT",4,4,4,4,57.7,25,85.05,61,"6"
"4707-LKQWVH-DVB",1,3,1,2,0,25,33.9,49,"2"
"3743-WMVESG-C4C",2,1,3,2,25.7,18,8.1,4,"4"
"6220-DNXMOB-3CJ",1,1,1,0,0,18,13.8,5,"1"
"7512-DILXWV-6YD",4,2,4,3,27.2,11,29.7,21,"3"
"8389-PNASXX-NKE",0,2,1,1,0,11,27,29,"1"
"4924-TJCPTE-P6D",0,2,0,1,0,15,6.75,4,"1"
"4583-LDDOHQ-VFX",3,1,2,0,0,19,72.15,60,"2"
"4651-FZBXWY-6F0",1,1,2,0,0,18,14.7,17,"4"
"4157-SFKIZN-I6C",4,5,2,4,79.65,22,193.5,72,"6"
"4000-PKSKNR-T9A",3,0,3,0,0,15,21.9,29,"4"
"1751-IQPXZD-CZV",0,0,0,0,0,11,6.6,2,"1"
"3553-EBMWFX-MVS",3,3,3,3,23.95,14,19.65,43,"3"
"3000-DWUGGK-EXP",0,1,2,1,0,19,13.95,23,"1"
"6989-XMMWMU-ORW",3,3,1,2,30.6,13,53.4,54,"2"
"1931-NHXKGH-D3R",2,3,0,3,0,17,175.95,72,"5"
"0778-ADCYKA-7HH",0,1,0,0,0,20,22.65,28,"1"
"8563-XFYTWE-1CH",1,2,1,3,0,27,13.05,19,"1"
"6529-QAKUNP-XYF",2,1,2,0,0,27,27.6,35,"4"
"2413-ECMIEM-PSY",0,0,0,0,0,0,18.15,27,"1"
"4453-FAJXXO-IUV",3,2,3,1,0,13,94.95,72,"2"
"2952-JTVKHR-S7F",3,3,4,4,0,16,9,12,"3"
"1018-INNKLF-Y2Q",1,3,0,2,0,19,37.35,56,"2"
"1051-FVOLSM-6TE",1,2,0,2,0,18,26.7,42,"1"
"9700-DGCABT-FRY",0,0,1,0,0,20,32.25,29,"1"
"1092-JSLTHP-BCT",2,2,1,3,35.45,27,31.65,46,"3"
"3011-YSOAMU-FQ2",4,2,2,0,25.05,17,118.05,70,"5"
"7648-KAUMVM-HEU",2,2,2,1,0,18,25.35,28,"4"
"6891-ARDRVC-EWL",0,1,0,1,0,18,23.55,32,"1"
"7233-HQDDYC-VK3",3,2,2,2,0,22,15,18,"3"
"0453-LYAETZ-K69",3,3,4,3,0,20,15.75,28,"3"
"8201-AAESBF-GW3",0,0,1,0,0,17,11.4,11,"1"
"8574-GUQVLV-C04",1,1,2,0,0,14,12.9,24,"4"
"2392-WBLNQY-964",4,3,3,3,40.7,26,46.05,55,"6"
"0359-DQOMHP-1YU",3,4,4,4,67.7,20,34.35,46,"6"
"9176-YPUZOB-0X8",1,2,0,2,0,26,26.25,16,"1"
"9393-XVJDYP-T0Y",1,1,0,1,0,29,27,59,"2"
"3427-AFVORF-KSQ",3,5,4,2,44.75,15,42.3,48,"6"
"3653-NZHSEU-GMC",3,3,2,4,36.55,18,36,60,"6"
"1804-PVZNPU-R1J",0,0,1,0,0,28,7.2,10,"1"
"9357-NOWBWV-55T",4,4,4,4,53.25,21,17.85,17,"6"
"2613-HPXXOY-32A",3,1,1,0,0,20,22.35,29,"4"
"5725-ECSRUB-X5V",2,1,3,2,0,22,11.1,33,"4"
"9200-GVGEES-KKE",3,2,3,0,0,13,24,44,"4"
"3736-XFNRBQ-RGC",1,0,2,0,0,21,19.65,5,"4"
"9357-WUXLKE-TTP",4,5,3,4,34.65,19,24.3,33,"6"
"4128-WQIOMO-MJX",2,0,2,0,0,22,42.6,63,"2"
"2736-QDRAAN-VAI",1,2,0,3,0,20,12.6,7,"1"
"5739-BYRLOH-4E9",1,2,2,2,0,16,10.35,2,"4"
"3216-HYCWBS-R4X",2,3,2,2,19.65,18,7.95,10,"3"
"5023-GJPZGQ-PDD",0,1,0,1,0,19,25.05,31,"1"
"4251-UJCSCO-W61",2,3,0,2,0,31,42.75,49,"2"
"2484-ZFXONS-Y8G",2,4,2,4,46,19,20.25,34,"3"
"1163-JCDRWZ-Q3K",2,1,3,1,0,21,13.95,7,"4"
"1351-APLKEM-62K",1,2,3,3,0,20,11.85,11,"4"
"2175-VGCTPF-370",1,2,0,1,0,0,16.5,34,"1"
"5161-SAEGFS-T7Q",4,5,4,4,90.1,33,31.35,40,"6"
"2603-JDZIQN-SZF",1,3,0,2,0,19,24.15,24,"1"
"2459-RBRPIE-BI3",4,3,2,1,34.45,24,38.25,56,"6"
"2591-HAWSSX-B1M",3,3,3,4,30.95,16,7.8,1,"3"
"0044-LVJIBD-G76",1,2,1,0,0,21,23.7,25,"1"
"8454-WYVBYJ-22N",2,4,3,1,0,14,63.15,50,"2"
"9769-TIWOIU-7YX",1,0,3,0,0,20,14.85,6,"4"
"9999-EGLHVE-19G",3,4,4,4,90.35,21,10.5,5,"6"
"7731-TDRNOT-PZX",1,2,1,2,0,15,24.3,8,"1"
"4030-WSTXBV-BTC",2,1,0,1,0,0,102.15,72,"2"
"5547-KHAYAE-2AW",3,1,1,0,0,24,168.45,72,"5"
"2581-UPECEP-JVH",4,4,4,4,62.35,18,88.5,47,"6"
"3542-FMTLYP-O4P",2,3,1,3,0,28,37.95,64,"2"
"5649-GIECLS-1ZJ",1,0,0,0,0,25,43.35,23,"1"
"7524-OITCVK-NGI",2,2,2,3,0,0,10.05,5,"3"
"8320-TNOHJH-48E",3,2,4,3,32.1,12,6.15,1,"3"
"5593-ZOVUTO-QGA",3,2,3,1,0,16,93,72,"2"
"0127-NJJYNR-WUP",0,1,0,0,0,19,38.25,32,"1"
"0256-VFLEDH-Y42",2,2,3,0,0,12,32.4,44,"4"
"4080-WVWCSJ-5KU",3,3,3,0,0,21,91.05,68,"2"
"8974-LHXTHT-IZ5",1,2,1,0,0,22,12.15,38,"1"
"4563-GBQFAH-LGL",0,0,1,0,0,24,29.25,44,"1"
"7833-BKSOZR-8NC",2,2,1,1,0,16,42.6,67,"2"
"2833-ORNEXA-0T3",2,1,0,0,0,25,50.85,53,"2"
"3086-WRWJTT-HZR",2,1,3,0,0,27,12.6,6,"4"
"7981-ZGZQNR-WLL",2,0,2,1,0,26,13.8,19,"4"
"1090-UJJPXK-6CC",4,5,4,4,40.4,0,49.35,27,"6"
"1492-MUMVFT-GK0",0,0,1,0,0,16,11.25,4,"1"
"9484-XPXYRM-EKK",1,3,0,2,0,20,35.4,66,"2"
"7442-PTTPUB-IR1",2,1,0,2,0,22,131.4,70,"5"
"1833-MUWCIB-24I",3,2,3,3,38.05,20,76.65,62,"6"
"6700-YQAMUY-AMS",1,2,0,2,0,21,16.2,14,"1"
"0256-JXPOLY-RHL",1,2,0,2,0,23,56.85,61,"2"
"4323-JKNASP-Z5I",2,3,0,2,0,22,58.65,68,"2"
"3198-MUUHTP-59E",2,2,1,0,0,18,72.6,66,"2"
"9758-OITZZF-IN8",1,1,0,0,0,20,46.95,45,"1"
"1537-EOLBHN-V36",1,3,0,3,0,12,16.95,14,"1"
"2226-UNHNYR-8Z9",4,4,3,3,38,21,91.05,69,"6"
"3677-RCTNGD-2YK",3,3,2,3,0,21,58.35,64,"2"
"5575-OHSPKK-PQT",2,2,0,2,22.1,19,14.1,25,"1"
"9829-URPLKI-D16",2,0,3,0,0,17,28.65,45,"4"
"7449-JUWOQG-ETO",1,3,0,0,0,24,41.7,47,"2"
"1168-SOZEIT-VZE",3,3,2,3,24.3,19,43.5,26,"3"
"5707-ZSNWSX-HMG",3,2,3,0,18.6,17,36.45,21,"4"
"9325-WPUGWE-EUA",2,4,3,3,0,18,23.7,57,"3"
"2016-DLJMNC-NIF",2,3,3,3,0,19,12.9,28,"3"
"9369-JGANTZ-TWM",1,1,1,2,0,15,34.65,8,"1"
"7131-DZKXSP-AYH",1,2,0,3,0,29,11.7,14,"1"
"7618-WWRKRN-8S6",2,2,2,1,0,13,38.4,61,"2"
"8877-ZFRMNO-VHG",0,3,0,2,0,17,30.75,32,"1"
"3845-JKYVBV-CUZ",1,3,0,0,0,18,68.1,58,"2"
"9841-HCDWMI-E3T",1,2,0,0,0,23,56.55,70,"2"
"6411-UBAAYJ-XDJ",1,3,0,2,0,21,36,65,"2"
"6670-CAOOLM-DC3",2,2,3,0,0,27,29.4,43,"4"
"8896-GPAXGQ-GFS",3,2,3,0,0,21,97.2,71,"2"
"1716-RVHNCT-ZVF",1,3,0,3,0,24,31.35,40,"2"
"4668-SXFBSK-ENH",2,1,3,0,0,13,13.5,22,"4"
"6281-YXHVKP-VKM",3,2,2,0,0,25,54.3,58,"2"
