Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Customer Activity,Voice service usage,Equipment monthly usage,Monthly data usage,Streaming hours,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services
4225-PZZDIY-IBH,Female,Midwest,Small,65 to 74,Post Secondary,No,Labor,31,Yes,23000,9.3,Married,2,72,6,Veteran,High,116.1,0,43.25,22,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
0758-EQEGIQ-3OF,Female,Northeast,Small,55 to 64,Post Secondary,Yes,Agriculture,24,No,171000,9.5,Married,3,48,4,Loyal,Moderate,12.45,43.15,40.2,17,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service",3
0649-TBFJFL-QU4,Male,West Coast,Medium,55 to 64,Post Secondary,Yes,Labor,29,No,424000,10.7,Married,2,70,5.833333333,Veteran,Moderate,104.4,0,0,24,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3
2228-KOLOPU-FY3,Female,West Coast,Mega-City,25 to 34,Some High School,Yes,Professional,4,No,23000,4.8,Married,3,34,2.833333333,Established,Low,10.35,0,0,16,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2
3853-NVDCOJ-TIN,Female,Northeast,Small,Over 75,Post Secondary,No,Professional,10,Yes,22000,15.2,Unmarried,1,14,1.166666667,Newcomer,Moderate,21.9,24.85,0,22,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Smart device",2,No devices,0
0765-UXAFYM-PDR,Male,Midwest,Large,55 to 64,Post Secondary,No,Professional,4,No,35000,10.1,Married,2,53,4.416666667,Loyal,Moderate,33.6,0,0,25,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service, Cloud backup",3
9937-SFPLRK-H9Y,Male,Southeast,Extra Large,65 to 74,Post Secondary,No,Sales,2,No,28000,9.3,Married,2,59,4.916666667,Loyal,Moderate,42.75,0,0,21,"International plan, Family plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Gaming console",2,IoT device support,1
0712-WQXYVV-HUP,Male,Southwest,Small,55 to 64,Post Secondary,Yes,Labor,18,Yes,12000,21.5,Unmarried,1,61,5.083333333,Veteran,Moderate,25.05,29.1,0,13,"International plan, Home internet plan",2,"Equipment, Mobile security",2,"Home computer, Gaming console",2,No devices,0
6441-FJUWZQ-7G8,Male,Midwest,Extra Large,35 to 44,Some High School,No,Professional,2,No,29000,15.7,Unmarried,1,39,3.25,Established,Moderate,39.3,43.5,31.5,21,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
7634-AVNEXZ-7AG,Male,Northeast,Large,35 to 44,Completed High School,Yes,Professional,5,No,130000,11.3,Married,4,6,0.5,Newcomer,Moderate,4.5,0,0,32,"International plan, Home internet plan",2,Video streaming,1,"Home computer, Smart device",2,"Virtual assistant service, Cloud backup",2
2041-PNMGHX-TXJ,Female,Southwest,Large,65 to 74,Post Secondary,No,Service,28,Yes,69000,14.8,Married,2,62,5.166666667,Veteran,High,76.35,47.15,53.2,22,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
4626-BQZAUJ-V9K,Female,West Coast,Extra Large,25 to 34,Post Secondary,No,Sales,0,No,24000,11.7,Married,6,26,2.166666667,Established,Moderate,17.4,27.05,0,17,"International plan, Family plan, Home internet plan",3,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,No devices,0
2969-ODPCDX-5DC,Female,Southeast,Small,18 to 24,Post Secondary,Yes,Labor,1,No,29000,14,Unmarried,1,11,0.916666667,Newcomer,Low,11.85,19.65,0,13,No plans,0,Equipment,1,"Smart device, Gaming console",2,No devices,0
4974-FUBHDF-Z7L,Female,Midwest,Small,Over 75,Post Secondary,Yes,Professional,0,Yes,11000,10.2,Unmarried,1,72,6,Veteran,Moderate,268.35,0,0,23,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,No devices,0,Virtual assistant service,1
2525-OSULNV-0KS,Male,West Coast,Large,35 to 44,Post Secondary,Yes,Professional,3,No,30000,15.5,Unmarried,1,37,3.083333333,Established,Moderate,20.1,0,0,15,Home internet plan,1,No subscriptions,0,"Home computer, Smart device, Gaming console",3,No devices,0
4973-FHPBZQ-AAA,Male,Midwest,Mega-City,55 to 64,Post Secondary,Yes,Service,23,No,80000,6.5,Unmarried,1,47,3.916666667,Loyal,Moderate,36.75,0,0,25,International plan,1,"Video streaming, Financial News streaming",2,"Home computer, Gaming console",2,Cloud backup,1
4726-RQKGNB-WAK,Female,Southeast,Medium,55 to 64,Post Secondary,No,Professional,13,No,51000,7.8,Married,2,71,5.916666667,Veteran,High,109.05,55.15,55.8,20,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Cloud backup",3
6592-QBSENI-6Y4,Female,Northeast,Small,55 to 64,No High School,No,Sales,4,No,30000,2.8,Married,4,3,0.25,Newcomer,Moderate,16.5,0,0,29,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2
5538-DRGHIE-PF0,Male,Northeast,Small,25 to 34,Some High School,No,,1,No,17000,8.2,Married,6,16,1.333333333,Emerging,Moderate,23.55,0,0,30,No plans,0,No subscriptions,0,Gaming console,1,Cloud backup,1
3550-PQUPPM-42T,Male,Midwest,Large,45 to 54,Post Secondary,Yes,Sales,11,No,141000,9.9,Married,3,36,3,Established,Moderate,10.2,49.25,61.25,10,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
9809-NBCXAS-1RB,Male,Southwest,Mega-City,35 to 44,Completed High School,No,Sales,5,No,45000,8.3,Unmarried,2,38,3.166666667,Established,Moderate,20.25,27.4,0,29,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
8733-EDAXNE-8DV,Male,Midwest,Small,45 to 54,Post Secondary,Yes,Crafts,17,No,137000,13.7,Married,2,69,5.75,Veteran,High,66.15,44.85,36.45,22,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support",2
8170-YHWTSQ-825,Male,West Coast,Medium,Over 75,Some High School,No,Sales,2,Yes,10000,2.4,Unmarried,1,46,3.833333333,Loyal,Moderate,59.4,0,0,21,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Home computer,1,"Virtual assistant service, Cloud backup",2
1144-GVCZDP-8DV,Female,Southeast,Large,45 to 54,Post Secondary,Yes,Professional,3,No,73000,9.2,Married,5,31,2.583333333,Established,Moderate,21,57.25,62.3,22,"Wireless data plan, Family plan, Home internet plan",3,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support",2
8846-JJEGFU-I69,Female,Northeast,Small,55 to 64,Post Secondary,No,Professional,15,No,63000,6,Unmarried,1,41,3.416666667,Established,Moderate,39,0,19.35,13,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console, Smart home device",4,"Virtual assistant service, Cloud backup",2
4226-TEHKPJ-GKG,Female,Northeast,Medium,55 to 64,Completed High School,Yes,Service,10,No,50000,5.1,Married,3,49,4.083333333,Loyal,Moderate,27.9,0,0,29,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3
9714-LCYJJB-SCS,Male,West Coast,Medium,25 to 34,Post Secondary,No,Professional,1,No,50000,10.5,Unmarried,5,46,3.833333333,Loyal,Moderate,43.35,29.75,0,22,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Gaming console",2,Cloud storage,1
2866-TTOTKL-TA7,Male,West Coast,Extra Large,Over 75,Some High School,No,Service,30,Yes,28000,9.8,Married,2,31,2.583333333,Established,Moderate,15,0,0,20,International plan,1,Financial News streaming,1,No devices,0,No devices,0
7217-UECHSF-PCR,Female,Northeast,Small,45 to 54,Some High School,Yes,Sales,2,No,23000,18.7,Unmarried,2,23,1.916666667,Emerging,Moderate,19.5,0,19.7,28,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2
0197-AMEAYR-851,Male,West Coast,Small,45 to 54,Post Secondary,No,Sales,1,No,75000,2.2,Married,2,21,1.75,Emerging,Moderate,18.45,26.35,0,19,International plan,1,Equipment,1,"Home computer, Smart device",2,No devices,0
1743-WAHPKT-DNW,Male,West Coast,Small,Over 75,Some High School,Yes,Sales,11,No,28000,3.3,Married,2,16,1.333333333,Emerging,Low,12.9,0,0,12,No plans,0,Mobile security,1,No devices,0,No devices,0
9840-VEWFQZ-W5V,Female,Midwest,Small,35 to 44,Post Secondary,Yes,Sales,4,No,33000,12.6,Married,2,27,2.25,Established,Moderate,19.95,0,0,18,No plans,0,No subscriptions,0,Gaming console,1,No devices,0
6203-JLXPIJ-YQZ,Male,West Coast,Mega-City,45 to 54,Some High School,Yes,Labor,15,No,44000,13.6,Married,5,62,5.166666667,Veteran,Moderate,48.45,0,0,13,"International plan, Family plan",2,No subscriptions,0,No devices,0,No devices,0
4166-WEDNXN-5RK,Male,West Coast,Extra Large,18 to 24,Post Secondary,No,Service,0,No,31000,9.2,Unmarried,1,13,1.083333333,Newcomer,Moderate,14.25,0,0,17,Home internet plan,1,No subscriptions,0,"Home computer, Gaming console",2,No devices,0
4643-WSLHBV-DM5,Male,Southeast,Small,45 to 54,Post Secondary,Yes,Service,19,No,284000,9.4,Unmarried,1,48,4,Loyal,Moderate,40.05,0,57.05,13,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
1441-JNZRPW-8KQ,Female,Midwest,Large,25 to 34,Post Secondary,Yes,Labor,8,No,49000,2.1,Unmarried,1,3,0.25,Newcomer,Low,12.15,0,0,18,No plans,0,No subscriptions,0,"Smart device, Gaming console",2,No devices,0
5811-BKUTYY-F7I,Female,Southeast,Small,55 to 64,Post Secondary,No,Labor,18,Yes,15000,7.6,Unmarried,1,42,3.5,Established,Moderate,49.65,0,0,16,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,"Home computer, Smart device",2,No devices,0
0926-OZQUQX-GXA,Male,Southeast,Medium,35 to 44,Some High School,Yes,Professional,5,No,17000,2.3,Married,4,48,4,Loyal,Moderate,38.7,0,0,26,"International plan, Family plan",2,Financial News streaming,1,Home computer,1,Cloud backup,1
5007-HXEVVL-NW5,Female,Midwest,Medium,45 to 54,Post Secondary,Yes,Professional,14,No,83000,11.3,Married,2,37,3.083333333,Established,Moderate,16.8,49.85,50,22,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
8101-YOBRYX-REF,Female,Midwest,Large,55 to 64,Post Secondary,Yes,,8,No,82000,34.2,Unmarried,1,18,1.5,Emerging,Moderate,17.25,0,21,12,"Wireless data plan, Home internet plan",2,Video streaming,1,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service",2
8267-UTARFV-TZK,Female,Southwest,Small,55 to 64,Post Secondary,Yes,Service,11,No,62000,2.3,Married,4,30,2.5,Established,Moderate,16.8,0,0,18,International plan,1,"Video streaming, Mobile security",2,Smart device,1,Cloud backup,1
4432-KMTQXO-788,Female,West Coast,Extra Large,55 to 64,Post Secondary,No,Professional,6,No,138000,7,Married,2,66,5.5,Veteran,High,66.15,48.05,60.5,14,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
9172-WITHKP-BXZ,Female,Southeast,Small,25 to 34,Post Secondary,No,Sales,1,No,35000,5.7,Married,2,57,4.75,Loyal,High,51.15,0,43.15,22,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service, Cloud backup",3
1114-UELZXT-QT7,Female,Southwest,Small,65 to 74,Some High School,No,Agriculture,36,Yes,35000,12.2,Married,2,64,5.333333333,Veteran,Moderate,53.1,0,0,21,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Smart home device,1,"Virtual assistant service, Cloud backup",2
0992-DNDKIT-CUP,Male,West Coast,Large,18 to 24,Post Secondary,No,Labor,0,No,20000,5.2,Married,4,29,2.416666667,Established,Moderate,21.6,21.4,0,18,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
2654-JRLXAI-HC7,Female,Southeast,Small,45 to 54,Some High School,No,Professional,5,No,25000,7.7,Unmarried,1,31,2.583333333,Established,Moderate,27.6,0,0,20,No plans,0,Financial News streaming,1,No devices,0,"Virtual assistant service, Cloud backup",2
0405-BACHZT-AYK,Male,Southwest,Small,18 to 24,Post Secondary,Yes,Professional,0,No,33000,3.9,Married,3,5,0.416666667,Newcomer,Moderate,17.85,41.85,25.4,22,"Wireless data plan, Home internet plan",2,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,Cloud storage,1
4939-KCMADL-HLM,Female,Midwest,Medium,Over 75,Post Secondary,No,Sales,18,Yes,32000,23.1,Married,2,39,3.25,Established,Moderate,20.25,0,32.2,20,"International plan, Wireless data plan, Family plan",3,"Video streaming, Mobile security",2,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
4724-UVMKNV-Z1I,Male,Southeast,Medium,65 to 74,Some High School,No,Professional,31,Yes,16000,3,Married,4,66,5.5,Veteran,Moderate,57.3,0,0,33,International plan,1,Financial News streaming,1,No devices,0,No devices,0
4231-HZEXGK-HRI,Female,Southwest,Large,25 to 34,Post Secondary,No,Professional,0,No,64000,3.9,Unmarried,1,8,0.666666667,Newcomer,Moderate,6.15,0,0,19,Home internet plan,1,No subscriptions,0,Home computer,1,No devices,0
4979-WSWKYV-BSV,Female,Southeast,Small,35 to 44,Post Secondary,No,Service,7,No,31000,14.8,Unmarried,1,52,4.333333333,Loyal,Moderate,36.75,0,0,24,"International plan, Family plan",2,Video streaming,1,Home computer,1,No devices,0
7245-IUATZR-VLV,Male,West Coast,Small,25 to 34,Completed High School,No,Sales,1,No,18000,14.5,Married,4,27,2.25,Established,Low,9.6,0,0,21,No plans,0,Financial News streaming,1,No devices,0,No devices,0
2041-WAUPOH-84L,Male,Northeast,Extra Large,35 to 44,No High School,No,Sales,9,No,41000,3.1,Unmarried,1,14,1.166666667,Newcomer,Moderate,17.1,0,0,20,No plans,0,No subscriptions,0,"Home computer, Gaming console",2,No devices,0
5472-GUGMBS-ZVK,Female,Midwest,Medium,18 to 24,Completed High School,Yes,Service,1,No,22000,2.7,Married,2,6,0.5,Newcomer,Low,13.65,0,0,17,Family plan,1,Video streaming,1,Home computer,1,No devices,0
1811-FUILIP-L3S,Female,Midwest,Small,55 to 64,Some High School,Yes,Crafts,31,Yes,14000,15,Married,2,70,5.833333333,Veteran,Moderate,125.25,0,0,16,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,No devices,0,"Virtual assistant service, Cloud backup",2
2687-GRSYRT-YRW,Male,Southwest,Large,25 to 34,Post Secondary,Yes,Sales,4,No,82000,6.9,Married,2,21,1.75,Emerging,Low,13.35,0,0,15,No plans,0,Financial News streaming,1,"Home computer, Gaming console",2,No devices,0
9184-ABVZGX-Z4V,Male,Southeast,Small,65 to 74,Post Secondary,Yes,Sales,7,No,91000,0.3,Unmarried,1,68,5.666666667,Veteran,High,66,55.95,84.85,17,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service",3
9891-ZXATIA-55Z,Male,Midwest,Medium,35 to 44,Post Secondary,Yes,Labor,10,No,74000,4.7,Married,2,36,3,Established,Moderate,42.3,0,0,18,No plans,0,No subscriptions,0,Smart device,1,Virtual assistant service,1
6246-WBWHHS-GFB,Female,Southwest,Large,25 to 34,Post Secondary,Yes,Sales,3,No,46000,2.1,Unmarried,2,31,2.583333333,Established,Moderate,32.4,0,0,20,Home internet plan,1,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Virtual assistant service, Cloud backup",2
2212-AOYDMW-0ZV,Male,Southeast,Medium,Over 75,Post Secondary,Yes,Professional,13,Yes,14000,8.2,Married,2,72,6,Veteran,Moderate,107.4,0,0,16,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming",2,Home computer,1,Virtual assistant service,1
8268-VLELYK-IJK,Female,West Coast,Large,45 to 54,Some High School,Yes,Service,17,No,68000,22,Unmarried,1,28,2.333333333,Established,Low,23.85,0,0,15,No plans,0,No subscriptions,0,No devices,0,No devices,0
6023-TINSQC-7T4,Female,Midwest,Large,55 to 64,Post Secondary,No,Labor,22,No,101000,7.2,Married,2,14,1.166666667,Newcomer,Moderate,30.3,39.05,22.65,17,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Cloud backup",3
2332-AAKERL-PNS,Female,Midwest,Extra Large,55 to 64,Post Secondary,Yes,Professional,7,No,121000,9.1,Married,2,60,5,Loyal,Moderate,28.5,0,0,19,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,Virtual assistant service,1
8888-ERPHEF-H3V,Female,Southwest,Mega-City,Over 75,Some High School,No,Service,23,Yes,19000,15.3,Unmarried,1,32,2.666666667,Established,Moderate,15.15,0,0,29,No plans,0,Financial News streaming,1,No devices,0,No devices,0
0213-HSPXOI-LYR,Female,West Coast,Mega-City,18 to 24,Post Secondary,Yes,Crafts,0,No,30000,13.5,Married,4,10,0.833333333,Newcomer,Moderate,14.1,24.7,0,20,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
9095-NXHCNI-HXG,Female,Midwest,Large,25 to 34,Post Secondary,No,Professional,1,No,43000,2.1,Unmarried,3,2,0.166666667,Newcomer,Moderate,12.9,32.85,28.75,16,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
4115-RQKQTM-RXB,Male,Northeast,Extra Large,65 to 74,Some High School,No,Professional,26,Yes,18000,1.4,Unmarried,1,50,4.166666667,Loyal,Moderate,44.4,0,0,24,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,No devices,0
4730-MCQYEE-7XQ,Female,Southwest,Medium,25 to 34,Post Secondary,No,Sales,0,No,42000,16.4,Married,4,41,3.416666667,Established,Moderate,46.95,49,49.25,20,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service",3
4048-TDAQGT-9Y6,Male,Northeast,Medium,55 to 64,Some High School,No,Labor,36,No,327000,11.7,Married,2,72,6,Veteran,Moderate,302.1,0,0,16,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,Home computer,1,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
4336-AZJUON-KO0,Male,West Coast,Extra Large,65 to 74,Post Secondary,Yes,Professional,9,No,30000,6.9,Married,2,40,3.333333333,Established,Moderate,37.2,0,0,24,"Family plan, Home internet plan",2,"Video streaming, Financial News streaming",2,"Home computer, Smart device, Smart home device",3,"IoT device support, Virtual assistant service, Cloud backup",3
5495-XNMJLP-GBP,Male,Southwest,Extra Large,65 to 74,Post Secondary,Yes,Professional,21,Yes,96000,15.6,Married,2,70,5.833333333,Veteran,Moderate,73.65,0,0,22,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Gaming console",2,"Cloud storage, Virtual assistant service, Cloud backup",3
9844-JTMVSQ-J5G,Male,Midwest,Medium,55 to 64,Post Secondary,Yes,Crafts,29,No,143000,10.9,Unmarried,1,69,5.75,Veteran,Moderate,55.5,54.4,0,21,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Smart home device",3,"Cloud storage, Virtual assistant service, Cloud backup",3
6960-IEHYJM-SCB,Female,West Coast,Small,18 to 24,Post Secondary,No,Sales,0,No,25000,6.8,Unmarried,1,7,0.583333333,Newcomer,High,10.95,35.95,30.8,33,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Cloud backup",3
2566-HGSGRK-ROU,Male,Midwest,Small,55 to 64,Post Secondary,No,Sales,7,No,68000,6.5,Unmarried,1,56,4.666666667,Loyal,High,59.85,61.9,74.8,19,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
7164-HJCLUK-29N,Female,Midwest,Medium,65 to 74,No High School,No,Professional,16,No,78000,12.7,Married,2,72,6,Veteran,Moderate,140.1,0,0,16,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,Smart home device,1,"Cloud storage, Virtual assistant service, Cloud backup",3
