Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Voice service usage,Voice Service Groups,Equipment monthly usage,Monthly data usage,Data Usage Groups,Streaming hours,Streaming Groups,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services,CARTsegments,kmeans_segment,Customer Activity
4726-RQKGNB-WAK,Female,Southeast,Medium,55 to 64,Post Secondary,No,Professional,13,No,51000,7.8,Married,2,71,5.916666667,Veteran,109.05,High,55.15,55.8,High,20,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Cloud backup",3,8,6,High
6592-QBSENI-6Y4,Female,Northeast,Small,55 to 64,No High School,No,Sales,4,No,30000,2.8,Married,4,3,0.25,Newcomer,16.5,Low,0,0,None,29,Moderate,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,3,1,Low
5538-DRGHIE-PF0,Male,Northeast,Small,25 to 34,Some High School,No,,1,No,17000,8.2,Married,6,16,1.333333333,Emerging,23.55,Low,0,0,None,30,Moderate,No plans,0,No subscriptions,0,Gaming console,1,Cloud backup,1,2,1,Low
3550-PQUPPM-42T,Male,Midwest,Large,45 to 54,Post Secondary,Yes,Sales,11,No,141000,9.9,Married,3,36,3,Established,10.2,Low,49.25,61.25,High,10,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,1,6,Moderate
9809-NBCXAS-1RB,Male,Southwest,Mega-City,35 to 44,Completed High School,No,Sales,5,No,45000,8.3,Unmarried,2,38,3.166666667,Established,20.25,Low,27.4,0,None,29,Moderate,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
8733-EDAXNE-8DV,Male,Midwest,Small,45 to 54,Post Secondary,Yes,Crafts,17,No,137000,13.7,Married,2,69,5.75,Veteran,66.15,High,44.85,36.45,Moderate,22,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support",2,7,6,Moderate
8170-YHWTSQ-825,Male,West Coast,Medium,Over 75,Some High School,No,Sales,2,Yes,10000,2.4,Unmarried,1,46,3.833333333,Loyal,59.4,High,0,0,None,21,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Home computer,1,"Virtual assistant service, Cloud backup",2,7,2,Moderate
1144-GVCZDP-8DV,Female,Southeast,Large,45 to 54,Post Secondary,Yes,Professional,3,No,73000,9.2,Married,5,31,2.583333333,Established,21,Low,57.25,62.3,High,22,Moderate,"Wireless data plan, Family plan, Home internet plan",3,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support",2,3,6,Moderate
8846-JJEGFU-I69,Female,Northeast,Small,55 to 64,Post Secondary,No,Professional,15,No,63000,6,Unmarried,1,41,3.416666667,Established,39,Moderate,0,19.35,Low,13,Low,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console, Smart home device",4,"Virtual assistant service, Cloud backup",2,5,3,Low
4226-TEHKPJ-GKG,Female,Northeast,Medium,55 to 64,Completed High School,Yes,Service,10,No,50000,5.1,Married,3,49,4.083333333,Loyal,27.9,Low,0,0,None,29,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3,3,2,Low
9714-LCYJJB-SCS,Male,West Coast,Medium,25 to 34,Post Secondary,No,Professional,1,No,50000,10.5,Unmarried,5,46,3.833333333,Loyal,43.35,Moderate,29.75,0,None,22,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Gaming console",2,Cloud storage,1,5,2,Moderate
2866-TTOTKL-TA7,Male,West Coast,Extra Large,Over 75,Some High School,No,Service,30,Yes,28000,9.8,Married,2,31,2.583333333,Established,15,Low,0,0,None,20,Moderate,International plan,1,Financial News streaming,1,No devices,0,No devices,0,3,1,Low
7217-UECHSF-PCR,Female,Northeast,Small,45 to 54,Some High School,Yes,Sales,2,No,23000,18.7,Unmarried,2,23,1.916666667,Emerging,19.5,Low,0,19.7,Low,28,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2,3,3,Low
0197-AMEAYR-851,Male,West Coast,Small,45 to 54,Post Secondary,No,Sales,1,No,75000,2.2,Married,2,21,1.75,Emerging,18.45,Low,26.35,0,None,19,Moderate,International plan,1,Equipment,1,"Home computer, Smart device",2,No devices,0,3,4,Low
1743-WAHPKT-DNW,Male,West Coast,Small,Over 75,Some High School,Yes,Sales,11,No,28000,3.3,Married,2,16,1.333333333,Emerging,12.9,Low,0,0,None,12,Low,No plans,0,Mobile security,1,No devices,0,No devices,0,1,1,Low
9840-VEWFQZ-W5V,Female,Midwest,Small,35 to 44,Post Secondary,Yes,Sales,4,No,33000,12.6,Married,2,27,2.25,Established,19.95,Low,0,0,None,18,Moderate,No plans,0,No subscriptions,0,Gaming console,1,No devices,0,2,1,Low
6203-JLXPIJ-YQZ,Male,West Coast,Mega-City,45 to 54,Some High School,Yes,Labor,15,No,44000,13.6,Married,5,62,5.166666667,Veteran,48.45,Moderate,0,0,None,13,Low,"International plan, Family plan",2,No subscriptions,0,No devices,0,No devices,0,6,2,Low
4166-WEDNXN-5RK,Male,West Coast,Extra Large,18 to 24,Post Secondary,No,Service,0,No,31000,9.2,Unmarried,1,13,1.083333333,Newcomer,14.25,Low,0,0,None,17,Low,Home internet plan,1,No subscriptions,0,"Home computer, Gaming console",2,No devices,0,3,4,Low
4643-WSLHBV-DM5,Male,Southeast,Small,45 to 54,Post Secondary,Yes,Service,19,No,284000,9.4,Unmarried,1,48,4,Loyal,40.05,Moderate,0,57.05,High,13,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
1441-JNZRPW-8KQ,Female,Midwest,Large,25 to 34,Post Secondary,Yes,Labor,8,No,49000,2.1,Unmarried,1,3,0.25,Newcomer,12.15,Low,0,0,None,18,Moderate,No plans,0,No subscriptions,0,"Smart device, Gaming console",2,No devices,0,1,1,Low
5811-BKUTYY-F7I,Female,Southeast,Small,55 to 64,Post Secondary,No,Labor,18,Yes,15000,7.6,Unmarried,1,42,3.5,Established,49.65,Moderate,0,0,None,16,Low,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,"Home computer, Smart device",2,No devices,0,6,2,Low
0926-OZQUQX-GXA,Male,Southeast,Medium,35 to 44,Some High School,Yes,Professional,5,No,17000,2.3,Married,4,48,4,Loyal,38.7,Moderate,0,0,None,26,Moderate,"International plan, Family plan",2,Financial News streaming,1,Home computer,1,Cloud backup,1,5,2,Moderate
5007-HXEVVL-NW5,Female,Midwest,Medium,45 to 54,Post Secondary,Yes,Professional,14,No,83000,11.3,Married,2,37,3.083333333,Established,16.8,Low,49.85,50,Moderate,22,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Moderate
8101-YOBRYX-REF,Female,Midwest,Large,55 to 64,Post Secondary,Yes,,8,No,82000,34.2,Unmarried,1,18,1.5,Emerging,17.25,Low,0,21,Low,12,Low,"Wireless data plan, Home internet plan",2,Video streaming,1,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service",2,3,4,Low
8267-UTARFV-TZK,Female,Southwest,Small,55 to 64,Post Secondary,Yes,Service,11,No,62000,2.3,Married,4,30,2.5,Established,16.8,Low,0,0,None,18,Moderate,International plan,1,"Video streaming, Mobile security",2,Smart device,1,Cloud backup,1,3,1,Low
4432-KMTQXO-788,Female,West Coast,Extra Large,55 to 64,Post Secondary,No,Professional,6,No,138000,7,Married,2,66,5.5,Veteran,66.15,High,48.05,60.5,High,14,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,7,6,Moderate
9172-WITHKP-BXZ,Female,Southeast,Small,25 to 34,Post Secondary,No,Sales,1,No,35000,5.7,Married,2,57,4.75,Loyal,51.15,Moderate,0,43.15,Moderate,22,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service, Cloud backup",3,6,6,Moderate
1114-UELZXT-QT7,Female,Southwest,Small,65 to 74,Some High School,No,Agriculture,36,Yes,35000,12.2,Married,2,64,5.333333333,Veteran,53.1,Moderate,0,0,None,21,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Smart home device,1,"Virtual assistant service, Cloud backup",2,6,2,Moderate
0992-DNDKIT-CUP,Male,West Coast,Large,18 to 24,Post Secondary,No,Labor,0,No,20000,5.2,Married,4,29,2.416666667,Established,21.6,Low,21.4,0,None,18,Moderate,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
2654-JRLXAI-HC7,Female,Southeast,Small,45 to 54,Some High School,No,Professional,5,No,25000,7.7,Unmarried,1,31,2.583333333,Established,27.6,Low,0,0,None,20,Moderate,No plans,0,Financial News streaming,1,No devices,0,"Virtual assistant service, Cloud backup",2,2,1,Low
0405-BACHZT-AYK,Male,Southwest,Small,18 to 24,Post Secondary,Yes,Professional,0,No,33000,3.9,Married,3,5,0.416666667,Newcomer,17.85,Low,41.85,25.4,Moderate,22,Moderate,"Wireless data plan, Home internet plan",2,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,Cloud storage,1,3,4,Moderate
4939-KCMADL-HLM,Female,Midwest,Medium,Over 75,Post Secondary,No,Sales,18,Yes,32000,23.1,Married,2,39,3.25,Established,20.25,Low,0,32.2,Moderate,20,Moderate,"International plan, Wireless data plan, Family plan",3,"Video streaming, Mobile security",2,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,3,Moderate
4724-UVMKNV-Z1I,Male,Southeast,Medium,65 to 74,Some High School,No,Professional,31,Yes,16000,3,Married,4,66,5.5,Veteran,57.3,High,0,0,None,33,High,International plan,1,Financial News streaming,1,No devices,0,No devices,0,7,2,High
4231-HZEXGK-HRI,Female,Southwest,Large,25 to 34,Post Secondary,No,Professional,0,No,64000,3.9,Unmarried,1,8,0.666666667,Newcomer,6.15,Low,0,0,None,19,Moderate,Home internet plan,1,No subscriptions,0,Home computer,1,No devices,0,1,1,Low
4979-WSWKYV-BSV,Female,Southeast,Small,35 to 44,Post Secondary,No,Service,7,No,31000,14.8,Unmarried,1,52,4.333333333,Loyal,36.75,Moderate,0,0,None,24,Moderate,"International plan, Family plan",2,Video streaming,1,Home computer,1,No devices,0,5,2,Moderate
7245-IUATZR-VLV,Male,West Coast,Small,25 to 34,Completed High School,No,Sales,1,No,18000,14.5,Married,4,27,2.25,Established,9.6,Low,0,0,None,21,Moderate,No plans,0,Financial News streaming,1,No devices,0,No devices,0,1,1,Low
2041-WAUPOH-84L,Male,Northeast,Extra Large,35 to 44,No High School,No,Sales,9,No,41000,3.1,Unmarried,1,14,1.166666667,Newcomer,17.1,Low,0,0,None,20,Moderate,No plans,0,No subscriptions,0,"Home computer, Gaming console",2,No devices,0,2,1,Low
5472-GUGMBS-ZVK,Female,Midwest,Medium,18 to 24,Completed High School,Yes,Service,1,No,22000,2.7,Married,2,6,0.5,Newcomer,13.65,Low,0,0,None,17,Low,Family plan,1,Video streaming,1,Home computer,1,No devices,0,1,1,Low
1811-FUILIP-L3S,Female,Midwest,Small,55 to 64,Some High School,Yes,Crafts,31,Yes,14000,15,Married,2,70,5.833333333,Veteran,125.25,High,0,0,None,16,Low,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,No devices,0,"Virtual assistant service, Cloud backup",2,8,5,Moderate
2687-GRSYRT-YRW,Male,Southwest,Large,25 to 34,Post Secondary,Yes,Sales,4,No,82000,6.9,Married,2,21,1.75,Emerging,13.35,Low,0,0,None,15,Low,No plans,0,Financial News streaming,1,"Home computer, Gaming console",2,No devices,0,1,1,Low
9184-ABVZGX-Z4V,Male,Southeast,Small,65 to 74,Post Secondary,Yes,Sales,7,No,91000,0.3,Unmarried,1,68,5.666666667,Veteran,66,High,55.95,84.85,High,17,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming",3,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service",3,7,6,Moderate
9891-ZXATIA-55Z,Male,Midwest,Medium,35 to 44,Post Secondary,Yes,Labor,10,No,74000,4.7,Married,2,36,3,Established,42.3,Moderate,0,0,None,18,Moderate,No plans,0,No subscriptions,0,Smart device,1,Virtual assistant service,1,4,1,Moderate
6246-WBWHHS-GFB,Female,Southwest,Large,25 to 34,Post Secondary,Yes,Sales,3,No,46000,2.1,Unmarried,2,31,2.583333333,Established,32.4,Moderate,0,0,None,20,Moderate,Home internet plan,1,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Virtual assistant service, Cloud backup",2,5,4,Moderate
2212-AOYDMW-0ZV,Male,Southeast,Medium,Over 75,Post Secondary,Yes,Professional,13,Yes,14000,8.2,Married,2,72,6,Veteran,107.4,High,0,0,None,16,Low,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming",2,Home computer,1,Virtual assistant service,1,8,2,Moderate
8268-VLELYK-IJK,Female,West Coast,Large,45 to 54,Some High School,Yes,Service,17,No,68000,22,Unmarried,1,28,2.333333333,Established,23.85,Low,0,0,None,15,Low,No plans,0,No subscriptions,0,No devices,0,No devices,0,2,1,Low
6023-TINSQC-7T4,Female,Midwest,Large,55 to 64,Post Secondary,No,Labor,22,No,101000,7.2,Married,2,14,1.166666667,Newcomer,30.3,Moderate,39.05,22.65,Low,17,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Cloud backup",3,5,3,Low
2332-AAKERL-PNS,Female,Midwest,Extra Large,55 to 64,Post Secondary,Yes,Professional,7,No,121000,9.1,Married,2,60,5,Loyal,28.5,Moderate,0,0,None,19,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,Virtual assistant service,1,5,2,Moderate
8888-ERPHEF-H3V,Female,Southwest,Mega-City,Over 75,Some High School,No,Service,23,Yes,19000,15.3,Unmarried,1,32,2.666666667,Established,15.15,Low,0,0,None,29,Moderate,No plans,0,Financial News streaming,1,No devices,0,No devices,0,2,1,Low
0213-HSPXOI-LYR,Female,West Coast,Mega-City,18 to 24,Post Secondary,Yes,Crafts,0,No,30000,13.5,Married,4,10,0.833333333,Newcomer,14.1,Low,24.7,0,None,20,Moderate,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
9095-NXHCNI-HXG,Female,Midwest,Large,25 to 34,Post Secondary,No,Professional,1,No,43000,2.1,Unmarried,3,2,0.166666667,Newcomer,12.9,Low,32.85,28.75,Moderate,16,Low,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,1,3,Low
4115-RQKQTM-RXB,Male,Northeast,Extra Large,65 to 74,Some High School,No,Professional,26,Yes,18000,1.4,Unmarried,1,50,4.166666667,Loyal,44.4,Moderate,0,0,None,24,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,No devices,0,6,2,Moderate
4730-MCQYEE-7XQ,Female,Southwest,Medium,25 to 34,Post Secondary,No,Sales,0,No,42000,16.4,Married,4,41,3.416666667,Established,46.95,Moderate,49,49.25,Moderate,20,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service",3,6,6,Moderate
